attribute,reference_group,group,positive_rate,tpr,ppv,disparate_impact,count
sex,Male,Female,0.10920494373731784,0.6864406779661016,0.6841216216216216,0.32122580958485153,5421
sex,Male,Male,0.33996316758747697,0.7751842751842751,0.6836403033586133,1.0,10860
race,White,Amer-Indian-Eskimo,0.13836477987421383,0.7894736842105263,0.6818181818181818,0.49668860234897966,159
race,White,Asian-Pac-Islander,0.32083333333333336,0.7669172932330827,0.6623376623376623,1.1516966966966966,480
race,White,Black,0.1294042280589366,0.7206703910614525,0.6386138613861386,0.4645228737477296,1561
race,White,Other,0.15555555555555556,0.72,0.8571428571428571,0.5583983983983983,135
race,White,White,0.27857450164921843,0.7636103151862464,0.685971685971686,1.0,13946
