attribute,reference_group,group,positive_rate,tpr,ppv,disparate_impact,count
sex,Male,Female,0.09869027854639366,0.6491525423728813,0.7158878504672898,0.2946059442039129,5421
sex,Male,Male,0.33499079189686926,0.7665847665847666,0.6860912589334799,1.0,10860
race,White,Amer-Indian-Eskimo,0.1320754716981132,0.7894736842105263,0.7142857142857143,0.4840800337192869,159
race,White,Asian-Pac-Islander,0.3145833333333333,0.7669172932330827,0.6754966887417219,1.1530037231712658,480
race,White,Black,0.11210762331838565,0.6759776536312849,0.6914285714285714,0.4108943271480174,1561
race,White,Other,0.15555555555555556,0.72,0.8571428571428571,0.5701387063804935,135
race,White,White,0.27283808977484586,0.7515759312320917,0.6893561103810776,1.0,13946
